bmps_val,opt_val,bmps_steps,opt_steps,switch_cost,sample_cost
0.7125851458293396,0.7165707849936289,18.997,19.8718,1.0,0.0009118819655545162
0.638068447313447,0.6710021696410036,6.5804,8.1028,4.0,0.0024787521766663585
0.6508039497783521,0.6775699177579311,6.8528,8.6198,3.0,0.0024787521766663585
0.6267736075460429,0.6647183562058029,6.1448,6.918,5.0,0.0024787521766663585
0.584476282756454,0.609413489773649,2.5008,4.326,4.0,0.006737946999085467
0.6834690485961109,0.7064717088873345,10.6858,14.4168,4.0,0.0009118819655545162
0.5720185545949455,0.5963949048517321,2.489,2.938,5.0,0.006737946999085467
0.6732507401393385,0.7037538451670257,9.7454,13.0726,5.0,0.0009118819655545162
0.7233920078469107,0.7338533762402916,22.678,28.7502,3.0,0.00012340980408667956
0.6543241467257757,0.6592433629378041,7.4092,7.6146,1.0,0.006737946999085467
0.713816629554667,0.7261777504428568,19.4742,22.8058,3.0,0.00033546262790251185
0.7101000276143105,0.7250014705291146,16.5352,21.805,4.0,0.00033546262790251185
0.703071824917325,0.7124752736326979,13.7382,17.0802,2.0,0.0009118819655545162
0.6232409358477655,0.6401784516052512,5.6032,5.8356,2.0,0.006737946999085467
0.7275626185252789,0.7343838535633613,30.9068,30.0388,2.0,0.00012340980408667956
0.6855524890178052,0.7093480924404388,11.8768,14.9306,3.0,0.0009118819655545162
0.731189792896399,0.7350655574990994,28.1526,31.199,1.0,0.00012340980408667956
0.716276338648874,0.7274673451052447,28.6158,24.3178,2.0,0.00033546262790251185
0.6694949234227388,0.6849616073037772,9.837,9.6562,2.0,0.0024787521766663585
0.6934369409309679,0.6941087515457673,13.5438,12.4148,1.0,0.0024787521766663585
0.7237024667709966,0.7333739209432931,22.5838,28.3554,4.0,0.00012340980408667956
0.7287204388010925,0.7291517811122007,25.3656,26.595,1.0,0.00033546262790251185
0.6981382974138388,0.7238822873647861,13.4334,21.1678,5.0,0.00033546262790251185
0.7195525153768608,0.7329198364784921,21.3088,26.844,5.0,0.00012340980408667956
0.5949256913297634,0.6235308152872727,2.511,4.5624,3.0,0.006737946999085467
